year,month,day,hour,airtemp_degc,dewpoint_degc,slp_hpa,winddir_degrees,windspeed_ms,skycond_oktas,liqprec_mm
2019,1,1,0,-0.6,-1.1,1007.0,350.0,6.2,8.0,
2019,1,1,1,-1.1,-1.7,1008.4,340.0,4.1,,0.3
2019,1,1,2,-1.1,-2.2,1009.6,350.0,5.1,,0.5
2019,1,1,3,-1.1,-2.2,1011.4,340.0,4.1,,0.5
2019,1,1,4,-1.1,-2.2,1013.4,340.0,4.1,,-0.1
2019,1,1,5,-1.1,-2.2,1014.8,340.0,2.6,,-0.1
2019,1,1,6,-1.1,-2.8,1016.8,340.0,4.1,8.0,0.3
2019,1,1,7,-2.2,-3.9,1018.3,350.0,5.1,,-0.1
2019,1,1,8,-2.8,-5.6,1020.1,340.0,5.1,,0.0
2019,1,1,9,-3.9,-6.7,1022.0,350.0,5.1,,0.0
2019,1,1,10,-4.4,-7.2,1022.9,360.0,4.6,,0.0
2019,1,1,11,-5.0,-7.8,1023.3,360.0,4.1,,0.0
2019,1,1,12,-5.6,-8.3,1024.3,360.0,4.6,6.0,0.0
2019,1,1,13,-6.1,-8.3,1026.2,340.0,4.1,,0.0
2019,1,1,14,-6.7,-8.9,1027.5,350.0,3.6,,0.0
2019,1,1,15,-6.7,-9.4,,340.0,3.6,,0.0
2019,1,1,16,-6.7,-10.0,1028.9,360.0,4.1,,0.0
2019,1,1,17,-7.2,-10.6,1029.4,360.0,3.1,,0.0
2019,1,1,18,-6.7,-10.6,1028.8,10.0,3.6,6.0,0.0
2019,1,1,19,-6.7,-11.1,1027.9,50.0,4.1,4.0,-0.1
2019,1,1,20,-6.7,-11.1,1028.0,40.0,1.5,4.0,0.0
2019,1,1,21,-7.2,-11.7,1028.4,20.0,2.6,,0.0
2019,1,1,22,-7.2,-11.1,1028.7,360.0,2.6,,0.0
2019,1,1,23,-7.2,-11.1,1029.0,360.0,1.5,,0.0
2019,1,2,0,-7.2,-10.6,1028.4,40.0,1.5,8.0,0.0
2019,1,2,1,-7.2,-10.6,1028.7,50.0,1.5,,0.0
2019,1,2,2,-7.2,-10.6,1028.5,0.0,0.0,,0.0
2019,1,2,3,-7.2,-10.6,1028.4,20.0,1.5,,0.0
